YEAR	POP	AGE	BA	STI_NB	STI_BA	ASSYM	CANOPY_RATIO	UNDER_NB	OVER_NB	UNDER_BA	OVER_BA	UNDER_AGE	OVER_AGE	WATER_CONSUMED	WATER_NEEDED	WATER_CONSUMED_A	WATER_CONSUMED_B	WATER_CONSUMED_C	WATER_CONSUMED_D	WATER_CONSUMED_E	WATER_NEEDED_A	WATER_NEEDED_B	WATER_NEEDED_C	WATER_NEEDED_D	WATER_NEEDED_E	WATER_CONSUMED_INTOLERANT	WATER_NEEDED_INTOLERANT	WATER_CONSUMED_TOLERANT	WATER_NEEDED_TOLERANT	POP_A	POP_B	POP_C	POP_D	POP_E	POP_TOLERANT	POP_INTOLERANT
1	0	0	0	-nan	-nan	-nan	0	0	10	0	1.536934771	-nan	1	0.002021789551	0.0008350287374	0.0005874633789	0.001434326172	0	0	0	0.000245791626	0.0005892371114	0	0	0	0.0008888244629	0.0003718257141	0.001132965088	0.0004632030233	6	4	0	0	0	0	5	5
2	1	2	0.4271921347	0	0	1	0.00390625	0	20	0	3.573385394	-nan	1.5	0.004547119141	0.001876827348	0.001525878906	0.003021240234	0	0	0	0.0006305103448	0.001246317003	0	0	0	0.00235748291	0.0009636539162	0.00218963623	0.000913173432	12	8	0	0	0	0	10	10
3	2	2.5	0.9499376397	0	0	0.9891225413	0.0078125	0	30	0	5.735953872	-nan	2	0.00724029541	0.002988380381	0.002758026123	0.004482269287	0	0	0	0.001138640355	0.001849740026	0	0	0	0.00394821167	0.001636850797	0.00329208374	0.001351529584	19	11	0	0	0	0	15	15
4	5	3.6	2.431518981	0.2	0.1654106566	0.9564124226	0.0078125	0	40	0	8.643102861	-nan	2.5	0.01096343994	0.004540179435	0.003684295579	0.007279144362	0	0	0	0.001532159583	0.003008019853	0	0	0	0.005981445312	0.002487132336	0.004981994629	0.0020530471	23	17	0	0	0	0	20	20
5	8	4.375	4.11220653	0.25	0.2118284258	0.9691584015	0.0078125	0	49	0	11.80459153	-nan	2.959183673	0.01473236084	0.006213885824	0.003469351517	0.01126300932	0	0	0	0.001463798851	0.004750086973	0	0	0	0.00851551264	0.003550284561	0.0062168482	0.002663601263	22	27	0	0	0	0	24	25
6	10	5	5.80483199	0.2	0.1685009665	0.9721614391	0.01171875	0	58	0	15.64284519	-nan	3.482758621	0.01976776123	0.008286159803	0.003752215827	0.01486732153	0.001148223877	0	0	0.001629616504	0.006168428563	0.0004881147355	0	0	0.01141646046	0.004813810117	0.008351300771	0.003472349685	23	34	1	0	0	0	29	29
7	14	6	8.585900218	0.2142857143	0.17491307	0.9922307706	0.01953125	1	67	0.1200604312	20.04221434	1	4.014925373	0.02515792847	0.01075371957	0.003526276864	0.01915209838	0.002479553223	0	0	0.001553953989	0.008138529271	0.001061236307	0	0	0.01483681411	0.006329347019	0.01032111436	0.004424372548	23	43	2	0	0	0	34	34
8	20	6.5	12.66972616	0.25	0.1965281794	0.9758888888	0.01171875	1	75	0.1219040166	24.83340577	2	4.546666667	0.03121566772	0.01339267683	0.003257339216	0.02276457436	0.005193754149	0	0	0.001452439266	0.009713743624	0.002226493945	0	0	0.01844739526	0.007935753812	0.01276827246	0.005456923023	22	50	4	0	0	0	39	37
9	28	7	18.23385237	0.2857142857	0.2184190421	0.9760553883	0.01171875	0	86	0	31.07375426	-nan	4.988372093	0.03929138184	0.01677138521	0.003116968551	0.02574593601	0.01042847727	0	0	0.001395769844	0.0110092176	0.004366397767	0	0	0.02388172997	0.01016824256	0.01540965186	0.006603142653	22	56	8	0	0	0	44	42
10	34	7.647058824	23.22100797	0.3235294118	0.2428660919	0.9822898208	0.017578125	0	93	0	36.54295289	-nan	5.47311828	0.04656219482	0.01981712859	0.003465167346	0.03109755969	0.01199946779	0	0	0.001506826732	0.01329232972	0.005017972133	0	0	0.02851648286	0.01219662026	0.01804571196	0.007620508331	23	62	8	0	0	0	48	45
11	44	7.977272727	31.18537865	0.3409090909	0.253508957	0.9781720775	0.025390625	0	102	0	43.72336218	-nan	5.980392157	0.05536270142	0.02381575128	0.004688982056	0.03371869547	0.01446500682	0.002490017071	0	0.002037739896	0.01451317321	0.006223621023	0.001041217155	0	0.03465047425	0.01493739625	0.02071222717	0.008878355034	29	62	10	1	1	0	52	50
12	49	8.857142857	37.99513131	0.3469387755	0.2504536415	0.9747235378	0.025390625	1	107	0.170735016	50.51031836	1	6.523364486	0.06396484375	0.02778307481	0.004348876064	0.03262581329	0.0216993755	0.005290778902	0	0.002065529019	0.01407826573	0.009420827403	0.00221845266	0	0.04062475082	0.01771604058	0.02334009293	0.01006703423	29	61	16	2	2	0	55	53
13	56	9.517857143	46.64517574	0.3571428571	0.2517160968	0.9698885217	0.044921875	1	117	0.2922819264	59.6173347	9	6.905982906	0.07593917847	0.03304527135	0.00465750223	0.03702527929	0.02574766096	0.008508735994	0	0.002102760596	0.01617504521	0.01120175901	0.00356570654	0	0.04872954453	0.02132201748	0.02720963393	0.01172325387	29	68	18	3	3	0	60	58
14	66	10.06060606	57.44853057	0.3939393939	0.2691705764	0.9612799575	0.056640625	3	125	0.5028881528	69.27126129	5	7.44	0.08873748779	0.03864220324	0.004986380655	0.03826840225	0.03366592209	0.01181678279	0	0.002195965866	0.0167134056	0.01460780325	0.005125028528	0	0.05798183691	0.02533085526	0.03075565088	0.01331134798	31	70	23	4	4	0	65	63
15	71	10.83098592	67.24456235	0.4084507042	0.2710600631	0.9531477101	0.068359375	3	135	0.8401253992	80.57484157	8.666666667	7.82962963	0.1035003662	0.04537866321	0.004610330903	0.03943183695	0.03856984982	0.02088834853	0	0.002029282777	0.0174581868	0.01691795505	0.008973238585	0	0.06825187486	0.02992462515	0.03524849135	0.01545403806	28	76	27	7	7	0	70	68
16	74	11.60810811	77.23696046	0.3918918919	0.2590666041	0.947134888	0.076171875	5	141	0.8024242342	92.87843261	6	8.439716312	0.119342804	0.05240757694	0.005027816012	0.03925844172	0.04660067624	0.0239659713	0.004489898682	0.002205201612	0.01755914066	0.02047635673	0.01031617156	0.001850706384	0.07967271495	0.03515252458	0.039670089	0.01725505237	29	76	32	8	8	1	73	73
17	80	12	88.94946996	0.375	0.2460691558	0.9412094563	0.091796875	7	147	1.099321374	105.5446706	6.285714286	8.891156463	0.1359596252	0.05996186149	0.003885624719	0.04140750529	0.05170541375	0.02961507318	0.009346008301	0.001778101079	0.01856632938	0.02284707197	0.0128834598	0.00388689926	0.09285311066	0.04116273873	0.04310651459	0.01879912276	24	83	35	10	10	2	76	78
18	94	12.13829787	105.3368787	0.414893617	0.2612067912	0.9348852713	0.099609375	7	157	1.200386059	120.0185103	8.285714286	9.280254777	0.1546211243	0.06846536313	0.003371311136	0.04403346571	0.05221503035	0.04020740393	0.01479391314	0.001591237108	0.01963866594	0.02328814932	0.01779882932	0.006148481452	0.1068208273	0.04746624559	0.04780029701	0.02099911755	24	87	36	14	14	3	81	83
19	102	12.52941176	120.4066142	0.3921568627	0.2486482803	0.9148057525	0.111328125	8	164	1.515527868	134.5036035	9.25	9.707317073	0.1735458374	0.0771622703	0.003963175801	0.04517278774	0.05850950737	0.04970331583	0.01619705066	0.001853316853	0.02032162947	0.02624564272	0.02198872466	0.006752956602	0.1212922697	0.05419995732	0.05225356769	0.02296231298	28	86	39	16	16	3	85	87
20	112	12.95535714	137.9683329	0.3839285714	0.2442000849	0.9053987362	0.119140625	5	175	0.9113349015	152.3956063	6.2	10.28	0.1954879761	0.08736143484	0.004324546316	0.04857502574	0.05580460602	0.05649867965	0.03028511835	0.001980353112	0.02194968548	0.02529215224	0.02506708442	0.01307215959	0.1374826128	0.06171479581	0.05800536332	0.02564663904	27	90	38	19	19	6	89	91
21	121	13.47107438	155.9213251	0.3884297521	0.2419865162	0.8971348247	0.130859375	8	179	1.41837335	169.0403775	5.375	10.89385475	0.2167663574	0.09758472315	0.003294118533	0.04671705622	0.06663219341	0.05410691855	0.04601607071	0.001521828282	0.02163688666	0.03021161908	0.02424064343	0.0199737457	0.1545520132	0.06983254851	0.06221434421	0.02775217463	23	92	45	18	18	9	91	96
22	125	14.144	170.3721169	0.392	0.2439051186	0.8848778655	0.142578125	9	186	1.780730564	184.4670869	8.222222222	11.23655914	0.236415863	0.1070240195	0.002898121119	0.04654662086	0.0709148916	0.06237237047	0.05368385899	0.001417831382	0.02197786569	0.03166816392	0.02867349163	0.02328666686	0.1686392354	0.07633798008	0.06777662768	0.0306860394	23	93	48	21	21	10	95	100
23	130	14.79230769	188.0067425	0.3923076923	0.2360093675	0.8765264374	0.1796875	12	192	2.541335717	202.4902872	6.666666667	11.81770833	0.2587661743	0.1183567371	0.003243660828	0.05159227692	0.07327840261	0.06493653034	0.06571530362	0.001690357027	0.02470548138	0.03298752597	0.02986097451	0.02911239821	0.1872492339	0.08555233927	0.07151694045	0.03280439782	26	98	47	21	21	12	99	105
24	139	15.02877698	209.336579	0.3884892086	0.232884492	0.8750752998	0.212890625	16	196	3.795888214	221.845767	7.4375	12.3622449	0.283454895	0.1308063556	0.003634280337	0.0514129331	0.07817133218	0.06321348688	0.08702286251	0.001924463224	0.02479532946	0.03560441872	0.02928458575	0.03919755841	0.2065331396	0.0952034223	0.07692175544	0.03560293325	29	96	50	21	21	16	103	109
25	145	15.66896552	230.7360847	0.4	0.2336595008	0.8656776967	0.255859375	22	197	4.48694064	242.3258477	7.727272727	13.08629442	0.3091964722	0.1437101766	0.004703329415	0.0413215126	0.08979004392	0.05870387912	0.1146777071	0.002558287317	0.02047763843	0.04100362884	0.02779654715	0.05187407484	0.2262461303	0.1050073837	0.08295034182	0.03870279288	36	81	60	21	21	21	108	111
26	148	16.24324324	250.5093253	0.4121621622	0.231291941	0.8576171078	0.2890625	23	200	5.460962956	261.6592264	8.086956522	13.69	0.3341369629	0.1562019221	0.003713993859	0.04297233502	0.08254676858	0.07403996791	0.1308638975	0.002136243076	0.02151866463	0.03773278103	0.0350630334	0.05975119994	0.2468366422	0.115220896	0.08730032072	0.04098102606	30	88	55	27	27	23	111	112
27	149	17.17449664	270.487663	0.4228187919	0.22910492	0.8512205296	0.3359375	32	199	7.881832143	281.9029773	8.0625	14.42211055	0.3607635498	0.1701011277	0.003704728378	0.04057865544	0.08739251828	0.07385990943	0.1552277383	0.002229345844	0.02085334396	0.04050496634	0.03458630258	0.07192716895	0.2671245302	0.1256897376	0.09363901958	0.04441139005	32	87	58	27	27	27	116	115
28	150	17.88	291.6712964	0.42	0.2254465039	0.8477935496	0.376953125	39	198	10.02169133	302.9028461	9.153846154	14.97979798	0.3878746033	0.1843765704	0.003909704793	0.03797141656	0.09122078833	0.08583556812	0.1689371255	0.002205800275	0.02008274368	0.04208459358	0.04107132742	0.0789321054	0.2880120521	0.1366905157	0.09986255116	0.04768605463	34	84	60	31	31	28	120	117
29	154	18.37012987	314.6684212	0.4025974026	0.2199626255	0.8388721228	0.451171875	40	200	10.12921289	325.5649983	9.45	15.68	0.4150886536	0.1985152618	0.003756763326	0.03865810528	0.08747135442	0.1019280899	0.1832743407	0.00217187018	0.02037673631	0.04092897186	0.04881996744	0.08621771598	0.3108045367	0.1483154513	0.1042841169	0.05019981043	35	83	57	36	36	29	121	119
